files,language,blank,comment,code,"github.com/AlDanial/cloc v 2.04  T=3.59 s (1348.3 files/s 302908.8 lines/s)"
2257,Python,68129,58217,384415
1272,PO File,85634,14479,259944
701,Text,47452,0,121317
113,JavaScript,4853,4103,20539
297,HTML,547,13,5018
47,CSS,977,161,4281
55,JSON,5,0,1932
21,YAML,118,12,1179
36,SVG,0,191,1164
18,XML,13,4,916
1,DOS Batch,30,1,206
1,make,31,8,164
2,INI,21,0,130
8,Markdown,40,17,119
2,Bourne Shell,29,16,85
4,reStructuredText,36,2,74
1,TOML,8,0,60
1,CSV,0,0,4
4837,SUM,207923,77224,801547
